seq.1.9.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,noon_hour,average,estimated_long,,Equation of Time calculation,,,
1,309.5-312.8,11/01/2020 8:10,11/01/2020 17:40,11/01/2020 8:10,11/01/2020 17:40,1578730200,1578764400,1578747300,11/01/2020 12:55,12:55,,,,Degree rotation per day,360,°,
2,393.0-396.6,11/01/2020 8:50,11/01/2020 17:25,11/01/2020 8:50,11/01/2020 17:25,1578732600,1578763500,1578748050,11/01/2020 13:07,13:07,14:07,,,minutes per day,1440,min,
3,424.5-428.0,11/01/2020 9:20,11/01/2020 17:20,11/01/2020 9:20,11/01/2020 17:20,1578734400,1578763200,1578748800,11/01/2020 13:20,13:20,,,,"degrees for each minute past noon, then eqn of time correction",0.25,°/min,
4,434.9-438.3,12/01/2020 7:45,12/01/2020 17:30,12/01/2020 7:45,12/01/2020 17:30,1578815100,1578850200,1578832650,12/01/2020 12:37,12:37,,,,Minutes past noon,38,min,
5,491.3-496.3,12/01/2020 8:05,12/01/2020 17:10,12/01/2020 8:05,12/01/2020 17:10,1578816300,1578849000,1578832650,12/01/2020 12:37,12:37,12:39,,,degrees past meridian,-9.5,°,34 * 0.25; negative because to the west
6,547.2-548.9,12/01/2020 8:45,12/01/2020 16:45,12/01/2020 8:45,12/01/2020 16:45,1578818700,1578847500,1578833100,12/01/2020 12:45,12:45,,,,eqn time correction,-2.308333333,,on 03/02/2020
7,442.6-443.8,13/01/2020 7:55,13/01/2020 17:45,13/01/2020 7:55,13/01/2020 17:45,1578902100,1578937500,1578919800,13/01/2020 12:50,12:50,,,,correct longitude,-7.191666667,,
8,499.4-499.4,13/01/2020 8:20,13/01/2020 17:05,13/01/2020 8:20,13/01/2020 17:05,1578903600,1578935100,1578919350,13/01/2020 12:42,12:42,12:34,,,,,,
9,523.1-527.4,13/01/2020 8:35,13/01/2020 15:45,13/01/2020 8:35,13/01/2020 15:45,1578904500,1578930300,1578917400,13/01/2020 12:10,12:10,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
