seq.1.36.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,noon_hour,average,estimated_long,,Equation of Time calculation,,,
1,420.7-427.1,3/02/2020 7:15,3/02/2020 18:00,3/02/2020 7:15,3/02/2020 18:00,1580714100,1580752800,1580733450,3/02/2020 12:37,12:37,,,,Degree rotation per day,360,°,
2,487.9-490.9,3/02/2020 7:00,3/02/2020 17:45,3/02/2020 7:00,3/02/2020 17:45,1580713200,1580751900,1580732550,3/02/2020 12:22,12:22,12:33,-4.808333333,,minutes per day,1440,min,
3,523.2-524.5,3/02/2020 8:10,3/02/2020 17:15,3/02/2020 8:10,3/02/2020 17:15,1580717400,1580750100,1580733750,3/02/2020 12:42,12:42,,,,"degrees for each minute past noon, then eqn of time correction",0.25,°/min,
4,420.5-427.5,4/02/2020 7:45,4/02/2020 18:05,4/02/2020 7:45,4/02/2020 18:05,1580802300,1580839500,1580820900,4/02/2020 12:55,12:55,,,,Minutes past noon,65,min,
5,485.9-489.0,4/02/2020 7:55,4/02/2020 17:45,4/02/2020 7:55,4/02/2020 17:45,1580802900,1580838300,1580820600,4/02/2020 12:50,12:50,12:43,-7.279166667,,degrees past meridian,-16.25,°,34 * 0.25; negative because to the west
6,533.8-534.8,4/02/2020 7:25,4/02/2020 17:25,4/02/2020 7:25,4/02/2020 17:25,1580801100,1580837100,1580819100,4/02/2020 12:25,12:25,,,,eqn time correction,-3.55,,on 03/02/2020
7,310.7-314.2,5/02/2020 7:20,5/02/2020 18:45,5/02/2020 7:20,5/02/2020 18:45,1580887200,1580928300,1580907750,5/02/2020 13:02,13:02,,,,correct longitude,-12.7,,
8,380.4-380.5,5/02/2020 7:30,5/02/2020 18:25,5/02/2020 7:30,5/02/2020 18:25,1580887800,1580927100,1580907450,5/02/2020 12:57,12:57,12:53,-9.758333333,,,,,
9,403.1-403.2,5/02/2020 7:00,5/02/2020 18:20,5/02/2020 7:00,5/02/2020 18:20,1580886000,1580926800,1580906400,5/02/2020 12:40,12:40,,,,,,,
10,407.4-409.3,6/02/2020 7:35,6/02/2020 18:15,6/02/2020 7:35,6/02/2020 18:15,1580974500,1581012900,1580993700,6/02/2020 12:55,12:55,,,,,,,
