seq.1.6.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,noon_hour,average,estimated_long,,Equation of Time calculation,,,
1,201.6-205.6,5/02/2020 6:50,5/02/2020 19:50,5/02/2020 6:50,5/02/2020 19:50,1580885400,1580932200,1580908800,5/02/2020 13:20,13:20,,,,Degree rotation per day,360,°,
2,269.5-273.3,5/02/2020 6:55,5/02/2020 19:10,5/02/2020 6:55,5/02/2020 19:10,1580885700,1580929800,1580907750,5/02/2020 13:02,13:02,13:06,-19.99666667,,minutes per day,1440,min,
3,380.0-383.1,5/02/2020 7:05,5/02/2020 18:50,5/02/2020 7:05,5/02/2020 18:50,1580886300,1580928600,1580907450,5/02/2020 12:57,12:57,,,,"degrees for each minute past noon, then eqn of time correction",0.25,°/min,
4,386.7-390.7,6/02/2020 7:25,6/02/2020 17:50,6/02/2020 7:25,6/02/2020 17:50,1580973900,1581011400,1580992650,6/02/2020 12:37,12:37,,,,Minutes past noon,66,min,
5,431.4-432.0,6/02/2020 7:55,6/02/2020 17:35,6/02/2020 7:55,6/02/2020 17:35,1580975700,1581010500,1580993100,6/02/2020 12:45,12:45,12:34,-12.0125,,degrees past meridian,-16.5,°,34 * 0.25; negative because to the west
6,468.7-470.3,6/02/2020 7:50,6/02/2020 16:50,6/02/2020 7:50,6/02/2020 16:50,1580975400,1581007800,1580991600,6/02/2020 12:20,12:20,,,,eqn time correction,-3.491666667,,on 03/02/2020
,,,,,,,,,,,,,,correct longitude,-19.99666667,,
