seq.1.7.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,
1,313-315,13/02/2019 8:20,13/02/2019 19:15,13/02/2019 8:20,13/02/2019 19:15,1550046000,1550085300,1550065650,13/02/2019 13:47,13:47
2,360-376,14/02/2019 8:10,14/02/2019 19:20,14/02/2019 8:10,14/02/2019 19:20,1550131800,1550172000,1550151900,14/02/2019 13:45,13:45
3,394-406,14/02/2019 8:15,14/02/2019 19:15,14/02/2019 8:15,14/02/2019 19:15,1550132100,1550171700,1550151900,14/02/2019 13:45,13:45
4,422-426,14/02/2019 8:40,14/02/2019 19:10,14/02/2019 8:40,14/02/2019 19:10,1550133600,1550171400,1550152500,14/02/2019 13:55,13:55
5,289-293,15/02/2019 7:55,15/02/2019 19:35,15/02/2019 7:55,15/02/2019 19:35,1550217300,1550259300,1550238300,15/02/2019 13:45,13:45
6,318-320,15/02/2019 8:00,15/02/2019 19:30,15/02/2019 8:00,15/02/2019 19:30,1550217600,1550259000,1550238300,15/02/2019 13:45,13:45
7,343-350,15/02/2019 8:05,15/02/2019 19:25,15/02/2019 8:05,15/02/2019 19:25,1550217900,1550258700,1550238300,15/02/2019 13:45,13:45
,,,,,,,,,,13:46
Degree rotation per day,360,360,360,°,,,,,,
minutes per day,1440,1440,1440,min,,,,,,
"degrees for each minute past noon, then eqn of time correction",0.25,0.25,0.25,°/min,,,,,,
Minutes past noon,105,45,45,min,"13:45 average noon time; tag clock is set in UTC +1, hence following UTC it is 12:45 and therefore, 45 min past noon",,,,,
degrees past meridian,-26.25,-11.25,11.25,°,"negative, because it is to the west",,,,,
eqn time correction,-3.5375,-3.5375,,,,,,,,
correct longitude,-22.7125,-7.7125,512.5 index,,,,,,,
Estimated latitude,12.34 C,46.01,195 index,,,,,,,
