"Species","ID","Sp_ID","Date","SD_Depth","Av_Depth","Min_Depth","Max_Depth","SD_Temp","Av_Temp","Min_Temp","Max_Temp","Temp_at_Min_Depth","Temp_at_Max_Depth","Max_PoV_WF","Behav_Class","SST","MPL.Avg.Lat","MPL.Avg.Lon","MPL.Std.Lat","MPL.Std.Lon","Med.Lat","Med.Lon","MPL.Hori_Dist_Degrees","MPL.Hori_Dist_km"
"EEL","16031","EEL16031",2018-12-09,3.11921922324591,4.64651976555072,-0.02605951,11.22980614,0.610100129857271,10.0506323672754,8.851866667,10.703,8.851866667,10.4856,NA,NA,10.0506323672754,"51.2166666666667","3","0","0","51.2166666666667","3",NA,NA
"EEL","16031","EEL16031",2018-12-09,3.11921922324591,4.64651976555072,-0.02605951,11.22980614,0.610100129857271,10.0506323672754,8.851866667,10.703,8.851866667,10.4856,NA,NA,10.0506323672754,"51.405522027808","2.75321120541759","0.189107053237699","0.219183404807555","51.3958423610637","2.75536443354633",0.310758839879496,21.5355297931344
"EEL","16031","EEL16031",2018-12-10,3.70622767889237,3.54817665209028,0.22681582,18.00922061,0.193119181753046,10.5871122682639,10.344,11.12553333,10.50413333,10.5594,NA,NA,10.5871122682639,"51.4638805886286","2.55882370611129","0.27756572836732","0.281212853557174","51.4210405448806","2.58855165620116",0.202958669456637,14.0469945156067
"EEL","16031","EEL16031",2018-12-11,12.0137796942502,11.1933745425521,0.439854553,33.6048096,0.260278741609008,9.79280868049653,9.463833333,10.6445,9.6688,10.125,NA,NA,9.84948830704712,"51.4746873777566","2.34081379569577","0.386474091400206","0.303454299387407","51.3749374082413","2.39034292497012",0.218277593285798,15.1036470013425
"EEL","16031","EEL16031",2018-12-12,13.5126138786033,15.5539948863403,0.49371938,36.25965873,0.128581590392337,10.3172685184028,10.125,10.578,10.531,10.25426667,NA,NA,10.3558379744304,"51.4389963467861","2.11924649017405","0.432923097612639","0.31018824314921","51.3144302523548","2.14265512699965",0.224423529443534,15.541091863528
"EEL","16031","EEL16031",2018-12-13,12.4870171118463,16.6119242582257,1.163000927,32.35756994,0.0222192671181897,10.4488324072569,10.391,10.48453333,10.438,10.46846667,NA,NA,10.44870955875,"51.3364249499226","1.95317093185357","0.42897204570485","0.331405571880888","51.3141332608135","1.95988754066764",0.195197291287528,13.5476191774867
"EEL","16031","EEL16031",2018-12-14,12.4027378135135,18.2250908987222,1.17569124,33.54993518,0.0713578844316927,10.4537562499653,10.375,10.598,10.375,10.484,NA,NA,10.4109638677863,"51.1813886910011","1.78999524362099","0.428825082665614","0.359445510430144","51.1294498621627","1.82061467897373",0.225083421891862,15.674772431461
"EEL","16031","EEL16031",2018-12-15,13.6694041679609,17.7692471222257,0.836262287,34.54871744,0.0773888973643433,10.3976402778472,10.24786667,10.48453333,10.266,10.477,NA,NA,10.3448267677273,"50.9629957457202","1.60691815880318","0.440905789383106","0.393237458320616","50.9941532938319","1.61240806117092",0.284978415908741,19.9399776489919
"EEL","16031","EEL16031",2018-12-16,4.38704406353911,4.19207811469792,0.1518262,21.70783731,0.0812336496387112,10.4466201389931,10.313,10.6065,10.594,10.45763333,NA,NA,10.4464969591579,"50.7160482297597","1.42305651476621","0.429841886630082","0.39953076943519","50.6409538090978","1.39818740551165",0.30787689063494,21.6568003831927
"EEL","16031","EEL16031",2018-12-17,3.41965963459179,3.47092762535764,0.593059937,20.04122987,0.0933473825836219,10.1259216434514,9.953,10.313,10.0486,10.21526667,NA,NA,10.1256103367387,"50.4860845960574","1.23131147710957","0.385845899274097","0.395379600743721","50.4244763192078","1.23822183393061",0.299415150404102,21.1650301936532
"EEL","16031","EEL16031",2018-12-18,2.78223891121395,2.52781533059028,0.345617323,23.0203264,0.0571913199154973,10.0029337962326,9.891,10.1576,10.016,9.953533333,NA,NA,10.0031059232822,"50.2748742799876","1.02511992263425","0.345862103019332","0.392843452351729","50.1992328411068","1.04337317174696",0.295169027425397,20.9582526813905
"EEL","16031","EEL16031",2018-12-19,11.1295489602886,9.42668798933681,-0.006501943,35.63682058,0.175960145258048,9.36779733796528,9.169866667,9.926266667,9.531,9.2695,NA,NA,9.3822169491483,"50.0933838764359","0.798587192100337","0.272396455467257","0.383133601823801","50.0334408209532","0.782515509704254",0.290268573194738,20.6889793889771
"EEL","16031","EEL16031",2018-12-20,6.59239635753112,11.1757053244514,0.899945557,27.54663557,0.0890776359695331,9.45570787035417,9.313,9.613133333,9.434266667,9.4127,NA,NA,9.46068923075,"49.9925179499648","0.625741522954896","0.213086568372176","0.368036454295389","49.9887900358631","0.618510961776153",0.200123862808034,14.2939745002953
"EEL","16031","EEL16031",2018-12-21,8.60649877868832,10.7175177980313,0.203548203,29.51797889,0.171524768077598,9.60117812501389,9.313,9.844,9.583866667,9.344,NA,NA,9.64162207793074,"49.9527343671985","0.430673523458882","0.179947167262382","0.34323792744005","49.9656160403493","0.428437250329218",0.199083544988278,14.2314621010816
"EEL","16031","EEL16031",2018-12-22,12.0531356105277,17.8607480957708,2.269404773,38.53055421,0.135265714284318,9.83028043980903,9.595033333,10.156,10.07903333,9.969,NA,NA,9.845125,"49.9276085535144","0.231132426434133","0.178857805637098","0.313964354695113","49.9293543229401","0.239121509389811",0.201116771839467,14.3843275856626
"EEL","16031","EEL16031",2018-12-23,15.6177587272521,29.2890767731771,1.711624547,48.83784402,0.189122773357766,9.64441643520486,9.3135,10.047,9.439533333,9.7404,NA,NA,9.48728745097647,"49.8608154994525","0.100205216306284","0.152088466900594","0.310062140729374","49.8575241039586","0.178913790215475",0.146980428706608,10.5269744908121
